1, 15.064494875548974
2.0000000000000004, 19.063216206921304
3.0000000000000004, 17.367571165298145
4, 22.487234837775972
5, 25.805524718412855
6, 21.650351208987622
7, 24.185511695897688
8, 21.925150666360956
8.999999999999998, 19.90960666507153
9.999999999999998, 16.478475162911423
10.999999999999998, 15.608076005578738
11.999999999999998, 15.453634566385105
12.999999999999998, 16.612275142317472
14, 16.962198073655138
15, 20.591722292944517
16, 22.062208175959107
16.999999999999996, 26.682291194339783
18, 31.251184308154635
18.999999999999996, 26.468362252606696
20, 25.16706823638927
20.999999999999996, 26.58652063856057
22, 23.976310431130592
22.999999999999996, 18.821874438303865
24, 20.51805150036786
24.999999999999996, 17.660244005973226
26, 17.329033056126363
26.999999999999996, 21.597958029465126
28, 16.42901793135311
28.999999999999996, 21.736589686706154
29.999999999999996, 27.414643121420866
30.999999999999996, 28.324662652201624
31.999999999999996, 34.34849960833951
33, 33.75599014622617
33.99999999999999, 29.94413953961225
35, 33.68705364242217
36, 25.474390804656544
36.99999999999999, 25.09544868472294
38, 24.36693356619798
39, 25.376825866171046
40, 27.74189356054695
40.99999999999999, 33.001417164471924
42, 46.792171082056896
43, 50.732947561922316
44, 40.31811299588817
44.99999999999999, 46.85259763649007
46, 43.16425112558092
47, 41.40671347092261
48, 29.399003207394102
48.99999999999999, 24.951108779914307
50, 30.646216019735522
51, 33.40922406559426
51.99999999999999, 37.61120467636006
52.99999999999999, 48.91333474772581
54, 52.52177342600695
55, 41.156870206374855
55.99999999999999, 37.85854221401002
56.99999999999999, 41.775163588528514
58, 36.897428008008625
59, 37.65482844732152
60, 33.75
